lon,lat,lon_norm,lat_norm,lon_bin,lat_bin,partition_id,local_cluster,is_border,global_cluster
121.4,31.3348,0.350654778489831,0.402876404494383,42,48,42_48,-1,True,-1
121.4008,31.3321,0.3517692950682625,0.40044943820224743,42,48,42_48,-1,True,-1
121.4015,31.3301,0.3527444970743851,0.3986516853932596,42,47,42_47,-1,True,-1
121.4015,31.33,0.3527444970743851,0.3985617977528072,42,47,42_47,-1,True,-1
121.3765,31.314,0.3179158539983113,0.38417977528089864,38,46,38_46,-1,True,-1
121.3765,31.3138,0.3179158539983113,0.38400000000000023,38,46,38_46,-1,True,-1
121.3716,31.31,0.3110894399554133,0.3805842696629199,37,45,37_45,-1,False,-1
121.3513,31.3113,0.2828085817776395,0.38175280898876307,33,45,33_45,-1,True,-1
121.3401,31.3098,0.26720534967957854,0.38040449438202145,32,45,32_45,-1,True,-1
121.3331,31.3066,0.2574533296182731,0.37752808988763975,30,45,30_45,-1,True,-1
121.3331,31.3066,0.2574533296182731,0.37752808988763975,30,45,30_45,-1,True,-1
121.3343,31.3068,0.25912510448592035,0.3777078651685382,31,45,31_45,-1,True,-1
121.3368,31.3081,0.26260796879352377,0.37887640449438137,31,45,31_45,-1,False,-1
121.3396,31.3095,0.2665087768180539,0.3801348314606738,31,45,31_45,-1,True,-1
121.3398,31.3095,0.2667874059626519,0.3801348314606738,32,45,32_45,-1,True,-1
121.343,31.311,0.2712454722763977,0.3814831460674154,32,45,32_45,-1,True,-1
121.3458,31.3116,0.275146280300908,0.3820224719101108,33,45,33_45,-1,True,-1
121.3493,31.3115,0.28002229033156073,0.38193258426966153,33,45,33_45,-1,True,-1
121.3526,31.3106,0.2846196712175956,0.3811235955056185,34,45,34_45,-1,True,-1
121.3551,31.3103,0.28810253552519904,0.3808539325842708,34,45,34_45,-1,False,-1
121.3573,31.3105,0.2911674561158956,0.38103370786516927,34,45,34_45,-1,True,-1
121.3608,31.3108,0.29604346614654836,0.38130337078651694,35,45,35_45,-1,False,-1
121.3641,31.3108,0.30064084703258326,0.38130337078651694,36,45,36_45,-1,True,-1
121.3668,31.3103,0.30440234048480447,0.3808539325842708,36,45,36_45,-1,False,-1
121.37,31.31,0.3088604067985503,0.3805842696629199,37,45,37_45,-1,True,-1
121.3756,31.31,0.3166620228475907,0.3805842696629199,37,45,37_45,-1,True,-1
121.3765,31.3125,0.3179158539983113,0.382831460674157,38,45,38_45,-1,True,-1
121.3785,31.3126,0.3207021454444099,0.3829213483146063,38,45,38_45,-1,True,-1
121.381,31.3128,0.3241850097520133,0.38310112359550474,38,45,38_45,-1,True,-1
121.3833,31.3128,0.32738924491501875,0.38310112359550474,39,45,39_45,-1,True,-1
121.3845,31.313,0.329061019782666,0.38328089887640315,39,45,39_45,-1,True,-1
121.3863,31.313,0.3315686820841468,0.38328089887640315,39,45,39_45,-1,True,-1
121.3891,31.3131,0.3354694901086571,0.3833707865168524,40,46,40_46,-1,True,-1
121.393,31.3133,0.3409027584285256,0.38355056179775404,40,46,40_46,-1,True,-1
121.3933,31.3113,0.3413207021454324,0.38175280898876307,40,45,40_45,-1,True,-1
121.3935,31.3093,0.3415993312900502,0.3799550561797753,40,45,40_45,-1,True,-1
121.3943,31.309,0.34271384786848175,0.37968539325842765,41,45,41_45,-1,True,-1
121.3973,31.3091,0.3468932850376098,0.37977528089887685,41,45,41_45,-1,False,-1
121.3995,31.3093,0.3499582056283063,0.3799550561797753,41,45,41_45,-1,True,-1
121.4011,31.3095,0.3521872387851694,0.3801348314606738,42,45,42_45,-1,False,-1
121.4026,31.3096,0.3542769573697433,0.380224719101123,42,45,42_45,-1,False,-1
121.4086,31.3066,0.36263583170799946,0.37752808988763975,43,45,43_45,-1,False,-1
121.414,31.3045,0.37015881861242206,0.37564044943820274,44,45,44_45,-1,True,-1
121.4213,31.3048,0.38032878239063433,0.37591011235955046,45,45,45_45,-1,True,-1
121.4251,31.3051,0.3856227361381939,0.37617977528089813,46,45,46_45,-1,True,-1
121.4298,31.3056,0.39217052103649386,0.37662921348314427,47,45,47_45,-1,True,-1
121.4363,31.3068,0.40122596823627465,0.3777078651685382,48,45,48_45,-1,True,-1
121.4406,31.3073,0.4072164948453589,0.37815730337078757,48,45,48_45,-1,True,-1
121.4441,31.3083,0.4120925048760116,0.37905617977527983,49,45,49_45,-1,False,-1
121.4441,31.3085,0.4120925048760116,0.3792359550561783,49,45,49_45,-1,False,-1
121.4441,31.3085,0.4120925048760116,0.3792359550561783,49,45,49_45,-1,False,-1
121.444,31.3116,0.4119531903037027,0.3820224719101108,49,45,49_45,-1,True,-1
121.443,31.3125,0.4105600445806534,0.382831460674157,49,45,49_45,-1,True,-1
121.441,31.3125,0.40777375313457465,0.382831460674157,48,45,48_45,-1,True,-1
121.437,31.3123,0.40220117024239727,0.38265168539325856,48,45,48_45,-1,True,-1
121.4351,31.3141,0.3995541933686274,0.3842696629213479,47,46,47_46,-1,True,-1
121.4353,31.3143,0.3998328225132254,0.38444943820224636,47,46,47_46,-1,True,-1
121.4351,31.3143,0.3995541933686274,0.38444943820224636,47,46,47_46,-1,True,-1
121.4363,31.314,0.40122596823627465,0.38417977528089864,48,46,48_46,-1,True,-1
121.4363,31.3126,0.40122596823627465,0.3829213483146063,48,45,48_45,-1,True,-1
121.4373,31.3123,0.40261911395930416,0.38265168539325856,48,45,48_45,-1,True,-1
121.4388,31.3123,0.40470883254387807,0.38265168539325856,48,45,48_45,-1,True,-1
121.44,31.3123,0.4063806074115254,0.38265168539325856,48,45,48_45,-1,True,-1
121.4411,31.3123,0.4079130677068835,0.38265168539325856,48,45,48_45,-1,True,-1
121.4418,31.3125,0.4088882697130062,0.382831460674157,49,45,49_45,-1,True,-1
121.4418,31.3123,0.4088882697130062,0.38265168539325856,49,45,49_45,-1,True,-1
121.4426,31.3123,0.41000278629143766,0.38265168539325856,49,45,49_45,-1,True,-1
121.4426,31.3123,0.41000278629143766,0.38265168539325856,49,45,49_45,-1,True,-1
121.4436,31.3123,0.41139593201448693,0.38265168539325856,49,45,49_45,-1,True,-1
121.4438,31.3106,0.4116745611590849,0.3811235955056185,49,45,49_45,-1,False,-1
121.444,31.3093,0.4119531903037027,0.3799550561797753,49,45,49_45,-1,False,-1
121.4441,31.3078,0.4120925048760116,0.3786067415730337,49,45,49_45,-1,False,-1
121.4441,31.309,0.4120925048760116,0.37968539325842765,49,45,49_45,-1,False,-1
121.444,31.3125,0.4119531903037027,0.382831460674157,49,45,49_45,-1,True,-1
121.4438,31.3165,0.4116745611590849,0.3864269662921358,49,46,49_46,-1,False,-1
121.4438,31.3165,0.4116745611590849,0.3864269662921358,49,46,49_46,-1,False,-1
121.4438,31.3166,0.4116745611590849,0.386516853932585,49,46,49_46,-1,False,-1
121.4365,31.3151,0.40150459738087263,0.3851685393258434,48,46,48_46,-1,True,-1
121.436,31.3191,0.4008080245193678,0.38876404494381894,48,46,48_46,-1,True,-1
121.436,31.3195,0.4008080245193678,0.38912359550561904,48,46,48_46,-1,True,-1
121.436,31.3201,0.4008080245193678,0.38966292134831443,48,46,48_46,-1,True,-1
121.436,31.3218,0.4008080245193678,0.3911910112359545,48,46,48_46,-1,True,-1
121.4361,31.3226,0.40094733909165686,0.39191011235955153,48,47,48_47,-1,True,-1
121.4376,31.3228,0.4030370576762308,0.39208988764045,48,47,48_47,-1,True,-1
121.4398,31.323,0.4061019782669274,0.3922696629213484,48,47,48_47,-1,True,-1
121.4405,31.323,0.40707718027305,0.3922696629213484,48,47,48_47,-1,True,-1
121.4436,31.3155,0.41139593201448693,0.3855280898876403,49,46,49_46,-1,False,-1
121.4436,31.3143,0.41139593201448693,0.38444943820224636,49,46,49_46,-1,True,-1
121.4436,31.3138,0.41139593201448693,0.38400000000000023,49,46,49_46,-1,True,-1
121.4436,31.3138,0.41139593201448693,0.38400000000000023,49,46,49_46,-1,True,-1
121.4436,31.3138,0.41139593201448693,0.38400000000000023,49,46,49_46,-1,True,-1
121.4436,31.3138,0.41139593201448693,0.38400000000000023,49,46,49_46,-1,True,-1
121.4435,31.3055,0.41125661744217806,0.37653932584269506,49,45,49_45,-1,True,-1
121.4445,31.2986,0.41264976316522733,0.37033707865168547,49,44,49_44,-1,False,-1
121.4466,31.2881,0.41557536918361504,0.3608988764044941,49,43,49_43,-1,True,-1
121.4471,31.2818,0.4162719420451397,0.3552359550561799,49,42,49_42,-1,True,-1
121.4471,31.2818,0.4162719420451397,0.3552359550561799,49,42,49_42,-1,True,-1
121.4483,31.2773,0.4179437169127869,0.351191011235955,50,42,50_42,-1,True,-1
121.4506,31.2735,0.4211479520757726,0.3477752808988747,50,41,50_41,-1,False,-1
121.451,31.2736,0.4217052103649883,0.3478651685393239,50,41,50_41,-1,False,-1
121.456,31.263,0.42867093898021497,0.3383370786516865,51,40,51_40,-1,False,-1
121.4603,31.2596,0.4346614655892992,0.33528089887640317,52,40,52_40,-1,True,-1
121.453,31.2556,0.4244915018110869,0.3316853932584276,50,39,50_39,-1,True,-1
121.4515,31.256,0.422401783226513,0.33204494382022454,50,39,50_39,-1,True,-1
121.4503,31.2561,0.4207300083588657,0.33213483146067374,50,39,50_39,-1,True,-1
